"","lng","lat","confirmed","deaths","recovered"
"178",114.2,22.3,8,0,0
"179",122.6085,41.2956,21,0,0
"180",126.1923,43.6661,4,0,0
"181",85.2401,41.1129,4,0,0
"182",113.9448,44.0935,7,0,0
"183",106.1655,37.2692,4,0,0
"184",121,23.7,4,0,0
"185",108,16,2,0,0
"186",95.9956,35.7452,1,0,0
"187",113.55,22.1667,5,0,0
"188",101,15,8,0,2
"189",138,36,4,0,1
"190",103.8333,1.2833,5,0,0
"191",84.25,28.1667,1,0,0
"192",112.5,2.5,4,0,0
"193",151.2093,-33.8688,4,0,0
"194",144.9631,-37.8136,1,0,0
"195",104.9167,11.55,1,0,0
"196",81,7,1,0,0
"197",9,51,1,0,0
"198",-85.3232,51.2538,1,0,0
"199",112.2707,30.9756,1423,76,45
"200",128,36,4,0,0
"201",2.2137,46.2276,3,0,0
"202",113.4244,23.3417,151,0,4
"203",113.614,33.882,128,1,0
"204",120.0934,29.1832,128,0,1
"205",111.7088,27.6104,100,0,0
"206",117.2264,31.8257,70,0,0
"207",115.7221,27.614,72,0,2
"208",118.1498,36.3427,75,0,0
"209",119.455,32.9711,47,0,1
"210",107.874,30.0572,110,0,0
"211",102.7103,30.6171,69,0,0
"212",127.7615,47.862,21,1,0
"213",116.4142,40.1824,80,1,2
"214",121.4491,31.202,53,1,3
"215",116.1306,39.549,18,1,0
"216",117.9874,26.0789,59,0,0
"217",108.7881,23.8298,46,0,0
"218",108.8701,35.1917,35,0,0
"219",101.487,24.974,26,0,0
"220",109.7453,19.1959,33,1,0
"221",106.8748,26.8154,7,0,0
"222",117.323,39.3054,23,0,0
"223",112.2922,37.5777,13,0,0
"224",101.0583,37.8099,14,0,0
"225",114.2,22.3,8,0,0
"226",122.6085,41.2956,27,0,0
"227",126.1923,43.6661,6,0,0
"228",85.2401,41.1129,5,0,0
"229",113.9448,44.0935,11,0,0
"230",106.1655,37.2692,7,0,0
"231",121,23.7,5,0,0
"232",108,16,2,0,0
"233",95.9956,35.7452,6,0,0
"234",113.55,22.1667,6,0,0
"235",101,15,14,0,5
"236",138,36,7,0,1
"237",103.8333,1.2833,7,0,0
"238",84.25,28.1667,1,0,0
"239",112.5,2.5,4,0,0
"240",-123.1207,49.2827,1,0,0
"241",151.2093,-33.8688,4,0,0
"242",144.9631,-37.8136,1,0,0
"243",104.9167,11.55,1,0,0
"244",81,7,1,0,0
"245",9,51,4,0,0
"246",-85.3232,51.2538,1,0,0
"247",112.2707,30.9756,3554,125,80
"248",128,36,4,0,0
"249",2.2137,46.2276,4,0,0
"250",113.4244,23.3417,207,0,4
"251",113.614,33.882,168,1,0
"252",120.0934,29.1832,173,0,3
"253",111.7088,27.6104,143,0,0
"254",117.2264,31.8257,106,0,0
"255",115.7221,27.614,109,0,3
"256",118.1498,36.3427,95,0,0
"257",119.455,32.9711,70,0,1
"258",107.874,30.0572,132,0,0
"259",102.7103,30.6171,90,0,0
"260",127.7615,47.862,33,1,0
"261",116.4142,40.1824,91,1,4
"262",121.4491,31.202,66,1,4
"263",116.1306,39.549,33,1,0
"264",117.9874,26.0789,80,0,0
"265",108.7881,23.8298,51,0,2
"266",108.8701,35.1917,46,0,0
"267",101.487,24.974,44,0,0
"268",109.7453,19.1959,40,1,0
"269",106.8748,26.8154,9,0,0
"270",117.323,39.3054,24,0,0
"271",112.2922,37.5777,27,0,0
"272",101.0583,37.8099,19,0,0
"273",114.2,22.3,8,0,0
"274",122.6085,41.2956,34,0,0
"275",126.1923,43.6661,8,0,0
"276",85.2401,41.1129,10,0,0
"277",113.9448,44.0935,15,0,0
"278",106.1655,37.2692,11,0,0
"279",121,23.7,8,0,0
"280",108,16,2,0,0
"281",95.9956,35.7452,6,0,0
"282",113.55,22.1667,7,0,0
"283",101,15,14,0,5
"284",138,36,7,0,1
"285",103.8333,1.2833,7,0,0
"286",84.25,28.1667,1,0,0
"287",112.5,2.5,7,0,0
"288",-123.1207,49.2827,1,0,0
"289",151.2093,-33.8688,4,0,0
"290",144.9631,-37.8136,1,0,0
"291",153.4,-28.0167,1,0,0
"292",104.9167,11.55,1,0,0
"293",81,7,1,0,0
"294",9,51,4,0,0
"295",26,64,1,0,0
"296",54,24,4,0,0
"297",-85.3232,51.2538,1,0,0
"298",112.2707,30.9756,3554,125,88
"299",128,36,4,0,0
"300",2.2137,46.2276,5,0,0
"301",113.4244,23.3417,277,0,5
"302",113.614,33.882,206,2,1
"303",120.0934,29.1832,296,0,3
"304",111.7088,27.6104,221,0,0
"305",117.2264,31.8257,152,0,2
"306",115.7221,27.614,109,0,3
"307",118.1498,36.3427,130,0,1
"308",119.455,32.9711,99,0,1
"309",107.874,30.0572,147,0,1
"310",102.7103,30.6171,108,1,1
"311",127.7615,47.862,38,1,0
"312",116.4142,40.1824,111,1,4
"313",121.4491,31.202,96,1,5
"314",116.1306,39.549,48,1,0
"315",117.9874,26.0789,84,0,0
"316",108.7881,23.8298,58,0,2
"317",108.8701,35.1917,56,0,0
"318",101.487,24.974,55,0,0
"319",109.7453,19.1959,43,1,0
"320",106.8748,26.8154,9,0,1
"321",117.323,39.3054,27,0,0
"322",112.2922,37.5777,27,0,1
"323",101.0583,37.8099,24,0,0
"324",114.2,22.3,10,0,0
"325",122.6085,41.2956,39,0,1
"326",126.1923,43.6661,9,0,0
"327",85.2401,41.1129,13,0,0
"328",113.9448,44.0935,16,0,0
"329",106.1655,37.2692,12,0,0
"330",121,23.7,8,0,0
"331",108,16,2,0,0
"332",95.9956,35.7452,6,0,0
"333",113.55,22.1667,7,0,0
"334",101,15,14,0,5
"335",138,36,11,0,1
"336",103.8333,1.2833,10,0,0
"337",84.25,28.1667,1,0,0
"338",112.5,2.5,8,0,0
"339",-123.1207,49.2827,1,0,0
"340",151.2093,-33.8688,4,0,2
"341",144.9631,-37.8136,2,0,0
"342",153.4,-28.0167,3,0,0
"343",104.9167,11.55,1,0,0
"344",81,7,1,0,0
"345",9,51,4,0,0
"346",26,64,1,0,0
"347",54,24,4,0,0
"348",122,13,1,0,0
"349",78,21,1,0,0
"350",-85.3232,51.2538,1,0,0
"351",112.2707,30.9756,4903,162,90
"352",128,36,4,0,0
"353",2.2137,46.2276,5,0,0
"354",113.4244,23.3417,354,0,10
"355",113.614,33.882,278,2,2
"356",120.0934,29.1832,428,0,4
"357",111.7088,27.6104,277,0,2
"358",117.2264,31.8257,200,0,2
"359",115.7221,27.614,162,0,5
"360",118.1498,36.3427,158,0,1
"361",119.455,32.9711,129,0,1
"362",107.874,30.0572,182,0,1
"363",102.7103,30.6171,142,1,1
"364",127.7615,47.862,44,2,0
"365",116.4142,40.1824,114,1,4
"366",121.4491,31.202,112,1,5
"367",116.1306,39.549,65,1,0
"368",117.9874,26.0789,101,0,0
"369",108.7881,23.8298,78,0,2
"370",108.8701,35.1917,63,0,0
"371",101.487,24.974,70,0,0
"372",109.7453,19.1959,46,1,1
"373",106.8748,26.8154,12,0,1
"374",117.323,39.3054,31,0,0
"375",112.2922,37.5777,35,0,1
"376",101.0583,37.8099,26,0,0
"377",114.2,22.3,10,0,0
"378",122.6085,41.2956,41,0,1
"379",126.1923,43.6661,14,0,1
"380",85.2401,41.1129,14,0,0
"381",113.9448,44.0935,19,0,0
"382",106.1655,37.2692,17,0,0
"383",121,23.7,9,0,0
"384",108,16,2,0,0
"385",95.9956,35.7452,8,0,0
"386",113.55,22.1667,7,0,0
"387",88.0924,31.6927,1,0,0
"388",101,15,19,0,5
"389",138,36,15,0,1
"390",103.8333,1.2833,13,0,0
"391",84.25,28.1667,1,0,0
"392",112.5,2.5,8,0,0
"393",-123.1207,49.2827,1,0,0
"394",151.2093,-33.8688,4,0,2
"395",144.9631,-37.8136,3,0,0
"396",153.4,-28.0167,2,0,0
"397",104.9167,11.55,1,0,0
